swap_pair,swap_pair_address,liquidity_USD,token_0_symbol,token_0_address,token_0_decimals,token_0_totalSupply,token_1_symbol,token_1_address,token_1_decimals,token_1_totalSupply
WBNB-SafeMoonArmy,0x59d67bbb9c8f361618074fffe0f2ada3a4c6bd05,181.895,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,SafeMoonArmy,0xd3e1786d54e848e70c6f6dfd5ac96f505d297a1c,9,18792
DMN-BUSD,0x7bd4b87d5bce24aee65bdd99560cb334fea124b6,138.826,DMN,0xbf96a921a95165034d7c6469b0c8670e81c654eb,9,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
ETH-HOTCROSS,0xdd83a57db5f97dc011ba7698a094bb76be487fbd,128.933,ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,18792,HOTCROSS,0x4fa7163e153419e0e1064e418dd7a99314ed27b6,18,18792
USDT-USDC,0x18dd96c4accaff702106b0923f671538a5abe540,271.424,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18,18792
ETH-ZCA,0x4292f61fbee3be750b165b56e8a81617a56f7b43,87.447,ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,18792,ZCA,0x2838df8b8b2aac7c4917efc87e91d536e47afbb2,18,18792
SHWA-WBNB,0xc854ae5a6b6dd45c933e16435dfca62a391423ad,240.8,SHWA,0x4a2940263acfd179dbc1c6b69a3392671accaf5b,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-BOBC,0xf072fee1b3c0d12f8033ef0f164273b14f181eca,119.377,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,BOBC,0xce6bd1833bd077f62b2c1f9a777bb829801d6811,18,18792
CDT-WBNB,0x36c06871c23029ef6afd7d81e30c258db62ceaa3,78.054,CDT,0x31989e0c6787c3f6781427bde1a7b9a03b9a544d,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-TWITTER COIN,0x2fd864345bd5c7dd246d847105f707a7247de8cf,135.743,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,TWITTER COIN,0xbeb87cb8d544aa68cd6f4973f0f5d38f0a2e53ef,3,18792
WBNB-COG,0x35e67a97edb22fbb2eb89e3a2cced4f29a4a7d70,116.383,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,COG,0xce1db03de797ffb5bfe98e3903f2cbec841b26f8,9,18792
ETH-USDT,0x5af4859f62edb197887da2919ed185a89771826c,208.219,ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,18792,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168
MTB-WBNB,0xab076b0a0814b4321d24cae02585c8c12bfa5296,175.726,MTB,0xa552d53bf1bf3acb12ca60846d2f68c3ea6aa0e0,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-COIN,0x255f5ed481e75d061244d498de83405202f0a74c,115.344,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,COIN,0xe0e0a6da99074ba516c635a8264d054ed88fb4b6,3,18792
ICZ-WBNB,0x6185de16aa98dedb043ebab0073a4bcb1d365ed6,79.925,ICZ,0x10be866a844c3a4d94b5cea47dc6c46151d1c9ea,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
USHIBA-BUSD,0x1a4b2ff53c116fa991392995933bedffde8e3b20,71.233,USHIBA,0x01e04c6e0b2c93bb4f8ee4b71072b861f9352660,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
HOTCROSS-WBNB,0xdb9ff4dc796593ec728f9a30c66b89227ef8aa75,80.662,HOTCROSS,0x4fa7163e153419e0e1064e418dd7a99314ed27b6,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
USDT-ALIENO,0xff68a322b16d1e6917f9523f5dc5de608e2661fc,51.851,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,ALIENO,0xec0c0119be48991d3b102d188683fd46f3d9386d,18,18792
FBS-WBNB,0x6eb200073875c39cc8cebb1c1ce6471a7da49666,76.871,FBS,0xa953736904e23fafb42e353d4122420899999999,18,18792,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048
WBNB-TWITTER COIN,0x1af8a4f09450b0c1936ac48bf1d695e8cfa7dcae,86.376,WBNB,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,18,20048,TWITTER COIN,0xf8033e7c1706f7b5fe9cca596b100f9ae1cf6c99,3,18792
ETH-SUSHI,0x3b133155af8bf98ddb5b649a6664fb9b092069a3,110.438,ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8,18,18792,SUSHI,0x947950bcc74888a40ffa2593c5798f11fc9124c4,18,18792
USDT-FBS,0xd7d1be10838c5fe7a60db429e6f3edc6f82030e4,70.584,USDT,0x55d398326f99059ff775485246999027b3197955,18,19168,FBS,0xa953736904e23fafb42e353d4122420899999999,18,18792
YMPA-BUSD,0xa0785f267516de53fefc0e3d0ea480e59ba8e313,66.332,YMPA,0x5f7871433322b9f9795b97801ec3396276d1d056,18,18792,BUSD,0xe9e7cea3dedca5984780bafc599bd69add087d56,18,29672
